Abelvær;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5060 Nærøysund
Akkarfjord;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5406 Hammerfest
Akkerhaugen;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3817 Midt-Telemark
Aksdal;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1146 Tysvær
Ákšovuotna;Godkjent;01/07/1991;Nordsamisk;Tettsted;Kommune;5432 Loppa
Algarheim;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3033 Ullensaker
Alleen;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;4225 Lyngdal
Alnes;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1532 Giske
Alsvåg;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1868 Øksnes
Alta;Godkjent;01/07/1991;Norsk;By;Kommune;5403 Alta
Alternes;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1833 Rana
Alvdal;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3428 Alvdal
Amundrød;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3805 Larvik
Andabeløy;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4207 Flekkefjord
Andebu;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3804 Sandefjord
Andenes;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1871 Andøy
Andselv;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5418 Målselv
Andslimoen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5418 Målselv
Ankenes;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1806 Narvik
Ansnes;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5056 Hitra
Arefjord;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4626 Øygarden
Arendal;Godkjent;01/07/1991;Norsk;By;Kommune;4203 Arendal
Aronnes;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5403 Alta
Asak;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3030 Lillestrøm
Ask;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3032 Gjerdrum
Askehagen;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;1149 Karmøy
Askenga;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3025 Asker
Asker;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3025 Asker
Askim;Godkjent;01/07/1991;Norsk;By;Kommune;3014 Indre Østfold
Askvoll;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4645 Askvoll
